Study-object,Files,Methods,Files,Methods,LevenDistance
2,54,main.txt-2,13,main.txt,57,
2,54,main.txt-2,82,main.txt,73,
2,54,main.txt-2,68,calnoerrprob.txt,80,
2,54,main.txt-2,03,product.txt,76,
2,11,main.txt-2,93,main.txt,46,
2,11,main.txt-2,64,main.txt,43,
2,11,main.txt-2,81,main.txt,65,
2,11,main.txt-2,37,dbcmp.txt,84,
2,11,main.txt-2,91,get_probs.txt,85,
2,11,main.txt-2,02,main.txt,39,
2,11,main.txt-2,64,f.txt,80,
2,11,main.txt-2,31,min.txt,91,
2,11,main.txt-2,22,main.txt,47,
2,11,main.txt-2,71,main.txt,36,
2,11,main.txt-2,95,main.txt,44,
2,11,main.txt-2,92,calculate_strokes.txt,81,
2,11,main.txt-2.100,main.txt,49,
2,11,main.txt-2,88,get_column_space.txt,66,
2,11,main.txt-2,92,main.txt,49,
2,11,main.txt-2,13,main.txt,45,
2,11,main.txt-2,82,main.txt,79,
2,11,main.txt-2,68,calnoerrprob.txt,85,
2,11,main.txt-2,03,product.txt,81,
2,11,main.txt-2,54,main.txt,42,
2,28,keep_typing.txt-2,93,main.txt,92,
2,28,keep_typing.txt-2,64,main.txt,86,
2,28,keep_typing.txt-2,81,main.txt,81,
2,28,keep_typing.txt-2,37,dbcmp.txt,67,
2,28,keep_typing.txt-2,91,get_probs.txt,63,
2,28,keep_typing.txt-2,02,main.txt,88,
2,28,keep_typing.txt-2,64,f.txt,63,
2,28,keep_typing.txt-2,31,min.txt,44,
2,28,keep_typing.txt-2,22,main.txt,84,
2,28,keep_typing.txt-2,71,main.txt,92,
2,28,keep_typing.txt-2,95,main.txt,87,
2,28,keep_typing.txt-2,92,calculate_strokes.txt,65,
2,28,keep_typing.txt-2.100,main.txt,89,
2,28,keep_typing.txt-2,88,get_column_space.txt,82,
2,28,keep_typing.txt-2,92,main.txt,85,
2,28,keep_typing.txt-2,13,main.txt,93,
2,28,keep_typing.txt-2,82,main.txt,71,
2,28,keep_typing.txt-2,68,calnoerrprob.txt,57,
2,28,keep_typing.txt-2,03,product.txt,68,
2,28,keep_typing.txt-2,54,main.txt,88,
2,28,keep_typing.txt-2,11,main.txt,90,
2,63,min.txt-2,93,main.txt,94,
2,63,min.txt-2,64,main.txt,88,
2,63,min.txt-2,81,main.txt,81,
2,63,min.txt-2,37,dbcmp.txt,66,
2,63,min.txt-2,91,get_probs.txt,65,
