Study-obejct,Files,Methods,Files,Methods,LevenDistance
10,18,main.txt-10,80,main.txt,48,
10,18,main.txt-10,84,main.txt,32,
10,93,main.txt-10,45,main.txt,72,
10,93,main.txt-10,09,main.txt,31,
10,93,main.txt-10,72,main.txt,48,
10,93,main.txt-10,60,culculate.txt,73,
10,93,main.txt-10,11,score_breakup.txt,84,
10,93,main.txt-10,60,output.txt,87,
10,93,main.txt-10,76,main.txt,43,
10,93,main.txt-10,79,main.txt,57,
10,93,main.txt-10,85,main.txt,39,
10,93,main.txt-10,06,main.txt,53,
10,93,main.txt-10,32,main.txt,47,
10,93,main.txt-10,45,_get_result.txt,69,
10,93,main.txt-10,06,sup.txt,91,
10,93,main.txt-10,97,main.txt,51,
10,93,main.txt-10,19,main.txt,56,
10,93,main.txt-10,89,main.txt,49,
10,93,main.txt-10,36,main.txt,47,
10,93,main.txt-10,80,main.txt,56,
10,93,main.txt-10,84,main.txt,32,
10,93,main.txt-10,18,main.txt,37,
10,20,main.txt-10,45,main.txt,74,
10,20,main.txt-10,09,main.txt,44,
10,20,main.txt-10,72,main.txt,49,
10,20,main.txt-10,60,culculate.txt,74,
10,20,main.txt-10,11,score_breakup.txt,84,
10,20,main.txt-10,60,output.txt,89,
10,20,main.txt-10,76,main.txt,43,
10,20,main.txt-10,79,main.txt,58,
10,20,main.txt-10,85,main.txt,42,
10,20,main.txt-10,06,main.txt,54,
10,20,main.txt-10,32,main.txt,62,
10,20,main.txt-10,45,_get_result.txt,69,
10,20,main.txt-10,06,sup.txt,91,
10,20,main.txt-10,97,main.txt,61,
10,20,main.txt-10,19,main.txt,57,
10,20,main.txt-10,89,main.txt,51,
10,20,main.txt-10,36,main.txt,61,
10,20,main.txt-10,80,main.txt,63,
10,20,main.txt-10,84,main.txt,51,
10,20,main.txt-10,18,main.txt,51,
10,20,main.txt-10,93,main.txt,43,
10,28,main.txt-10,45,main.txt,71,
10,28,main.txt-10,09,main.txt,40,
10,28,main.txt-10,72,main.txt,40,
10,28,main.txt-10,60,culculate.txt,69,
10,28,main.txt-10,11,score_breakup.txt,82,
10,28,main.txt-10,60,output.txt,87,
10,28,main.txt-10,76,main.txt,35,
10,28,main.txt-10,79,main.txt,54,
10,28,main.txt-10,85,main.txt,44,
10,28,main.txt-10,06,main.txt,49,
10,28,main.txt-10,32,main.txt,59,
10,28,main.txt-10,45,_get_result.txt,64,
10,28,main.txt-10,06,sup.txt,89,
10,28,main.txt-10,97,main.txt,56,
10,28,main.txt-10,19,main.txt,51,
10,28,main.txt-10,89,main.txt,43,
10,28,main.txt-10,36,main.txt,57,
10,28,main.txt-10,80,main.txt,58,
10,28,main.txt-10,84,main.txt,48,
10,28,main.txt-10,18,main.txt,49,
10,28,main.txt-10,93,main.txt,28,
10,28,main.txt-10,20,main.txt,29,
10,57,main.txt-10,45,main.txt,60,
10,57,main.txt-10,09,main.txt,49,
10,57,main.txt-10,72,main.txt,42,
10,57,main.txt-10,60,culculate.txt,66,
10,57,main.txt-10,11,score_breakup.txt,80,
10,57,main.txt-10,60,output.txt,83,
10,57,main.txt-10,76,main.txt,44,
10,57,main.txt-10,79,main.txt,47,
10,57,main.txt-10,85,main.txt,59,
10,57,main.txt-10,06,main.txt,49,
10,57,main.txt-10,32,main.txt,30,
10,57,main.txt-10,45,_get_result.txt,63,
10,57,main.txt-10,06,sup.txt,88,
10,57,main.txt-10,97,main.txt,36,
10,57,main.txt-10,19,main.txt,46,
10,57,main.txt-10,89,main.txt,45,
10,57,main.txt-10,36,main.txt,28,
10,57,main.txt-10,80,main.txt,41,
10,57,main.txt-10,84,main.txt,30,
10,57,main.txt-10,18,main.txt,38,
10,57,main.txt-10,93,main.txt,39,
10,57,main.txt-10,20,main.txt,57,
10,57,main.txt-10,28,main.txt,52,
10,61,initarreglos.txt-10,45,main.txt,72,
10,61,initarreglos.txt-10,09,main.txt,88,
10,61,initarreglos.txt-10,72,main.txt,77,
10,61,initarreglos.txt-10,60,culculate.txt,60,
10,61,initarreglos.txt-10,11,score_breakup.txt,58,
10,61,initarreglos.txt-10,60,output.txt,75,
10,61,initarreglos.txt-10,76,main.txt,79,
10,61,initarreglos.txt-10,79,main.txt,75,
10,61,initarreglos.txt-10,85,main.txt,89,
10,61,initarreglos.txt-10,06,main.txt,77,
10,61,initarreglos.txt-10,32,main.txt,77,
10,61,initarreglos.txt-10,45,_get_result.txt,62,
10,61,initarreglos.txt-10,06,sup.txt,71,
10,61,initarreglos.txt-10,97,main.txt,76,
10,61,initarreglos.txt-10,19,main.txt,72,
10,61,initarreglos.txt-10,89,main.txt,77,
10,61,initarreglos.txt-10,36,main.txt,78,
10,61,initarreglos.txt-10,80,main.txt,73,
10,61,initarreglos.txt-10,84,main.txt,81,
10,61,initarreglos.txt-10,18,main.txt,81,
10,61,initarreglos.txt-10,93,main.txt,85,
10,61,initarreglos.txt-10,20,main.txt,85,
10,61,initarreglos.txt-10,28,main.txt,83,
10,61,initarreglos.txt-10,57,main.txt,81,
10,06,nor.txt-10,45,main.txt,72,
10,06,nor.txt-10,09,main.txt,91,
10,06,nor.txt-10,72,main.txt,83,
10,06,nor.txt-10,60,culculate.txt,67,
10,06,nor.txt-10,11,score_breakup.txt,37,
10,06,nor.txt-10,60,output.txt,67,
10,06,nor.txt-10,76,main.txt,85,
10,06,nor.txt-10,79,main.txt,81,
10,06,nor.txt-10,85,main.txt,92,
10,06,nor.txt-10,06,main.txt,83,
10,06,nor.txt-10,32,main.txt,82,
10,06,nor.txt-10,45,_get_result.txt,72,
10,06,nor.txt-10,06,sup.txt,20,
10,06,nor.txt-10,97,main.txt,82,
10,06,nor.txt-10,19,main.txt,78,
10,06,nor.txt-10,89,main.txt,83,
10,06,nor.txt-10,36,main.txt,84,
10,06,nor.txt-10,80,main.txt,78,
10,06,nor.txt-10,84,main.txt,86,
10,06,nor.txt-10,18,main.txt,87,
10,06,nor.txt-10,93,main.txt,89,
10,06,nor.txt-10,20,main.txt,89,
10,06,nor.txt-10,28,main.txt,87,
10,06,nor.txt-10,57,main.txt,86,
10,06,nor.txt-10,61,initarreglos.txt,64,
10,42,main.txt-10,45,main.txt,64,
10,42,main.txt-10,09,main.txt,59,
10,42,main.txt-10,72,main.txt,51,
10,42,main.txt-10,60,culculate.txt,70,
10,42,main.txt-10,11,score_breakup.txt,82,
10,42,main.txt-10,60,output.txt,85,
10,42,main.txt-10,76,main.txt,55,
10,42,main.txt-10,79,main.txt,54,
10,42,main.txt-10,85,main.txt,61,
10,42,main.txt-10,06,main.txt,56,
10,42,main.txt-10,32,main.txt,41,
