Study-object,Files,Method,Files,Method,LevenDistance
1,24,euclid.txt-1,80,gcd.txt,61
1,24,euclid.txt-1,12,gcd.txt,52
1,24,euclid.txt-1,67,main.txt,83
1,24,euclid.txt-1,57,main.txt,75
1,24,euclid.txt-1,50,main.txt,85
1,24,euclid.txt-1,46,ispot2.txt,61
1,24,euclid.txt-1,12,main.txt,76
1,24,euclid.txt-1,41,betterpower.txt,62
1,33,gen.txt-1,9,shortest.txt,59
1,33,gen.txt-1,47,check.txt,50
1,33,gen.txt-1,30,main.txt,69
1,33,gen.txt-1,98,main.txt,70
1,33,gen.txt-1,17,gcd.txt,66
1,33,gen.txt-1,34,main.txt,67
1,33,gen.txt-1,65,main.txt,60
1,33,gen.txt-1,66,main.txt,67
1,33,gen.txt-1,38,g.txt,51
1,33,gen.txt-1,80,main.txt,70
1,33,gen.txt-1,75,powr.txt,50
1,33,gen.txt-1,11,main.txt,58
1,33,gen.txt-1,94,main.txt,75
1,33,gen.txt-1,80,gcd.txt,55
1,33,gen.txt-1,12,gcd.txt,64
1,33,gen.txt-1,67,main.txt,72
1,33,gen.txt-1,57,main.txt,59
1,33,gen.txt-1,50,main.txt,69
1,33,gen.txt-1,46,ispot2.txt,43
1,33,gen.txt-1,12,main.txt,63
1,33,gen.txt-1,41,betterpower.txt,54
1,33,gen.txt-1,24,euclid.txt,67
1,64,t.txt-1,9,shortest.txt,51
1,64,t.txt-1,47,check.txt,41
1,64,t.txt-1,30,main.txt,69
1,64,t.txt-1,98,main.txt,71
1,64,t.txt-1,17,gcd.txt,61
1,64,t.txt-1,34,main.txt,68
1,64,t.txt-1,65,main.txt,63
1,64,t.txt-1,66,main.txt,69
1,64,t.txt-1,38,g.txt,47
1,64,t.txt-1,80,main.txt,71
1,64,t.txt-1,75,powr.txt,43
1,64,t.txt-1,11,main.txt,61
1,64,t.txt-1,94,main.txt,77
1,64,t.txt-1,80,gcd.txt,51
1,64,t.txt-1,12,gcd.txt,58
1,64,t.txt-1,67,main.txt,73
1,64,t.txt-1,57,main.txt,61
1,64,t.txt-1,50,main.txt,71
1,64,t.txt-1,46,ispot2.txt,37
1,64,t.txt-1,12,main.txt,65
1,64,t.txt-1,41,betterpower.txt,51
1,64,t.txt-1,24,euclid.txt,68
1,64,t.txt-1,33,gen.txt,34
1,45,ispow2.txt-1,9,shortest.txt,49
1,45,ispow2.txt-1,47,check.txt,26
1,45,ispow2.txt-1,30,main.txt,75
1,45,ispow2.txt-1,98,main.txt,75
1,45,ispow2.txt-1,17,gcd.txt,55
1,45,ispow2.txt-1,34,main.txt,72
1,45,ispow2.txt-1,65,main.txt,65
1,45,ispow2.txt-1,66,main.txt,71
1,45,ispow2.txt-1,38,g.txt,42
1,45,ispow2.txt-1,80,main.txt,76
1,45,ispow2.txt-1,75,powr.txt,19
1,45,ispow2.txt-1,11,main.txt,65
1,45,ispow2.txt-1,94,main.txt,71
1,45,ispow2.txt-1,80,gcd.txt,42
1,45,ispow2.txt-1,12,gcd.txt,53
1,45,ispow2.txt-1,67,main.txt,76
1,45,ispow2.txt-1,57,main.txt,65
1,45,ispow2.txt-1,50,main.txt,75
1,45,ispow2.txt-1,46,ispot2.txt,22
1,45,ispow2.txt-1,12,main.txt,67
1,45,ispow2.txt-1,41,betterpower.txt,38
1,45,ispow2.txt-1,24,euclid.txt,61
1,45,ispow2.txt-1,33,gen.txt,46
1,45,ispow2.txt-1,64,t.txt,39
1,41,main.txt-1,9,shortest.txt,84
1,41,main.txt-1,47,check.txt,81
1,41,main.txt-1,30,main.txt,37
1,41,main.txt-1,98,main.txt,45
1,41,main.txt-1,17,gcd.txt,86
1,41,main.txt-1,34,main.txt,41
1,41,main.txt-1,65,main.txt,48
1,41,main.txt-1,66,main.txt,45
1,41,main.txt-1,38,g.txt,81
1,41,main.txt-1,80,main.txt,37
1,41,main.txt-1,75,powr.txt,80
1,41,main.txt-1,11,main.txt,51
1,41,main.txt-1,94,main.txt,87
1,41,main.txt-1,80,gcd.txt,83
1,41,main.txt-1,12,gcd.txt,86
1,41,main.txt-1,67,main.txt,38
1,41,main.txt-1,57,main.txt,44
1,41,main.txt-1,50,main.txt,47
1,41,main.txt-1,46,ispot2.txt,79
1,41,main.txt-1,12,main.txt,49
1,41,main.txt-1,41,betterpower.txt,80
1,41,main.txt-1,24,euclid.txt,84
1,41,main.txt-1,33,gen.txt,73
1,41,main.txt-1,64,t.txt,73
1,41,main.txt-1,45,ispow2.txt,78
1,27,desc.txt-1,9,shortest.txt,51
1,27,desc.txt-1,47,check.txt,43
1,27,desc.txt-1,30,main.txt,85
1,27,desc.txt-1,98,main.txt,83
1,27,desc.txt-1,17,gcd.txt,49
1,27,desc.txt-1,34,main.txt,82
1,27,desc.txt-1,65,main.txt,78
1,27,desc.txt-1,66,main.txt,81
1,27,desc.txt-1,38,g.txt,42
1,27,desc.txt-1,80,main.txt,84
1,27,desc.txt-1,75,powr.txt,48
1,27,desc.txt-1,11,main.txt,78
1,27,desc.txt-1,94,main.txt,64
1,27,desc.txt-1,80,gcd.txt,29
1,27,desc.txt-1,12,gcd.txt,48
1,27,desc.txt-1,67,main.txt,85
1,27,desc.txt-1,57,main.txt,78
1,27,desc.txt-1,50,main.txt,84
1,27,desc.txt-1,46,ispot2.txt,50
1,27,desc.txt-1,12,main.txt,79
1,27,desc.txt-1,41,betterpower.txt,47
1,27,desc.txt-1,24,euclid.txt,62
1,27,desc.txt-1,33,gen.txt,63
1,27,desc.txt-1,64,t.txt,62
1,27,desc.txt-1,45,ispow2.txt,52
1,27,desc.txt-1,41,main.txt,86
1,40,main.txt-1,9,shortest.txt,88
1,40,main.txt-1,47,check.txt,85
1,40,main.txt-1,30,main.txt,50
1,40,main.txt-1,98,main.txt,56
1,40,main.txt-1,17,gcd.txt,90
1,40,main.txt-1,34,main.txt,57
1,40,main.txt-1,65,main.txt,64
1,40,main.txt-1,66,main.txt,57
1,40,main.txt-1,38,g.txt,86
1,40,main.txt-1,80,main.txt,51
1,40,main.txt-1,75,powr.txt,85
1,40,main.txt-1,11,main.txt,62
