Study-Object,Files,Methods,Files,Methods,LevenDistance
7,18,solve.txt-7,67,cmpldd.txt,53,
7,18,solve.txt-7,01,calc.txt,31,
7,18,solve.txt-7,22,main.txt,66,
7,18,solve.txt-7,28,main.txt,71,
7,18,solve.txt-7,67,cmpcd.txt,62,
7,18,solve.txt-7,57,comparedouble.txt,57,
7,18,solve.txt-7,66,sort.txt,50,
7,18,solve.txt-7,32,main.txt,73,
7,18,solve.txt-7,83,swap.txt,60,
7,18,solve.txt-7,84,solve.txt,69,
7,18,solve.txt-7,84,main.txt,47,
7,18,solve.txt-7,21,sort.txt,50,
7,18,solve.txt-7,55,main.txt,68,
7,18,solve.txt-7,67,cmpid.txt,63,
7,18,solve.txt-7,65,sol.txt,21,
7,18,solve.txt-7,77,main.txt,82,
7,18,solve.txt-7,57,read_file_char_line.txt,65,
7,18,solve.txt-7,57,compareinteger.txt,55,
7,18,solve.txt-7,35,comp.txt,63,
7,18,solve.txt-7,57,comparestring.txt,68,
7,18,solve.txt-7,05,multiplyarray.txt,78,
7,18,solve.txt-7,93,partition.txt,47,
7,18,solve.txt-7,57,comparefloat.txt,56,
7,52,comp.txt-7,68,main.txt,88,
7,52,comp.txt-7,67,cmpldd.txt,44,
7,52,comp.txt-7,01,calc.txt,63,
7,52,comp.txt-7,22,main.txt,81,
7,52,comp.txt-7,28,main.txt,85,
7,52,comp.txt-7,67,cmpcd.txt,13,
7,52,comp.txt-7,57,comparedouble.txt,45,
7,52,comp.txt-7,66,sort.txt,69,
7,52,comp.txt-7,32,main.txt,86,
7,52,comp.txt-7,83,swap.txt,43,
7,52,comp.txt-7,84,solve.txt,85,
7,52,comp.txt-7,84,main.txt,61,
7,52,comp.txt-7,21,sort.txt,72,
7,52,comp.txt-7,55,main.txt,82,
7,52,comp.txt-7,67,cmpid.txt,5,
7,52,comp.txt-7,65,sol.txt,58,
7,52,comp.txt-7,77,main.txt,91,
7,52,comp.txt-7,57,read_file_char_line.txt,81,
7,52,comp.txt-7,57,compareinteger.txt,43,
7,52,comp.txt-7,35,comp.txt,21,
7,52,comp.txt-7,57,comparestring.txt,43,
7,52,comp.txt-7,05,multiplyarray.txt,88,
7,52,comp.txt-7,93,partition.txt,64,
7,52,comp.txt-7,57,comparefloat.txt,44,
7,52,comp.txt-7,18,solve.txt,62,
7,86,main.txt-7,68,main.txt,36,
7,86,main.txt-7,67,cmpldd.txt,81,
7,86,main.txt-7,01,calc.txt,74,
7,86,main.txt-7,22,main.txt,52,
7,86,main.txt-7,28,main.txt,38,
7,86,main.txt-7,67,cmpcd.txt,87,
7,86,main.txt-7,57,comparedouble.txt,82,
7,86,main.txt-7,66,sort.txt,75,
7,86,main.txt-7,32,main.txt,42,
7,86,main.txt-7,83,swap.txt,89,
7,86,main.txt-7,84,solve.txt,55,
7,86,main.txt-7,84,main.txt,77,
7,86,main.txt-7,21,sort.txt,67,
7,86,main.txt-7,55,main.txt,42,
7,86,main.txt-7,67,cmpid.txt,87,
7,86,main.txt-7,65,sol.txt,79,
7,86,main.txt-7,77,main.txt,46,
7,86,main.txt-7,57,read_file_char_line.txt,66,
7,86,main.txt-7,57,compareinteger.txt,82,
7,86,main.txt-7,35,comp.txt,86,
7,86,main.txt-7,57,comparestring.txt,85,
7,86,main.txt-7,05,multiplyarray.txt,60,
7,86,main.txt-7,93,partition.txt,78,
7,86,main.txt-7,57,comparefloat.txt,82,
7,86,main.txt-7,18,solve.txt,77,
7,86,main.txt-7,52,comp.txt,87,
7,99,free_input.txt-7,68,main.txt,93,
7,99,free_input.txt-7,67,cmpldd.txt,79,
7,99,free_input.txt-7,01,calc.txt,81,
7,99,free_input.txt-7,22,main.txt,90,
7,99,free_input.txt-7,28,main.txt,91,
7,99,free_input.txt-7,67,cmpcd.txt,70,
7,99,free_input.txt-7,57,comparedouble.txt,78,
7,99,free_input.txt-7,66,sort.txt,82,
7,99,free_input.txt-7,32,main.txt,92,
7,99,free_input.txt-7,83,swap.txt,66,
7,99,free_input.txt-7,84,solve.txt,91,
7,99,free_input.txt-7,84,main.txt,78,
7,99,free_input.txt-7,21,sort.txt,87,
7,99,free_input.txt-7,55,main.txt,90,
7,99,free_input.txt-7,67,cmpid.txt,68,
7,99,free_input.txt-7,65,sol.txt,79,
7,99,free_input.txt-7,77,main.txt,95,
7,99,free_input.txt-7,57,read_file_char_line.txt,87,
7,99,free_input.txt-7,57,compareinteger.txt,77,
7,99,free_input.txt-7,35,comp.txt,63,
7,99,free_input.txt-7,57,comparestring.txt,72,
7,99,free_input.txt-7,05,multiplyarray.txt,94,
7,99,free_input.txt-7,93,partition.txt,80,
7,99,free_input.txt-7,57,comparefloat.txt,77,
7,99,free_input.txt-7,18,solve.txt,80,
7,99,free_input.txt-7,52,comp.txt,68,
7,99,free_input.txt-7,86,main.txt,93,
7,66,getmin.txt-7,68,main.txt,87,
7,66,getmin.txt-7,67,cmpldd.txt,56,
7,66,getmin.txt-7,01,calc.txt,50,
7,66,getmin.txt-7,22,main.txt,77,
7,66,getmin.txt-7,28,main.txt,81,
7,66,getmin.txt-7,67,cmpcd.txt,60,
7,66,getmin.txt-7,57,comparedouble.txt,57,
7,66,getmin.txt-7,66,sort.txt,49,
7,66,getmin.txt-7,32,main.txt,82,
7,66,getmin.txt-7,83,swap.txt,58,
7,66,getmin.txt-7,84,solve.txt,81,
7,66,getmin.txt-7,84,main.txt,51,
7,66,getmin.txt-7,21,sort.txt,63,
7,66,getmin.txt-7,55,main.txt,77,
7,66,getmin.txt-7,67,cmpid.txt,57,
7,66,getmin.txt-7,65,sol.txt,44,
7,66,getmin.txt-7,77,main.txt,89,
7,66,getmin.txt-7,57,read_file_char_line.txt,75,
7,66,getmin.txt-7,57,compareinteger.txt,53,
7,66,getmin.txt-7,35,comp.txt,67,
7,66,getmin.txt-7,57,comparestring.txt,65,
7,66,getmin.txt-7,05,multiplyarray.txt,86,
7,66,getmin.txt-7,93,partition.txt,43,
7,66,getmin.txt-7,57,comparefloat.txt,56,
7,66,getmin.txt-7,18,solve.txt,48,
7,66,getmin.txt-7,52,comp.txt,57,
7,66,getmin.txt-7,86,main.txt,85,
7,66,getmin.txt-7,99,free_input.txt,70,
7,91,sort_fre.txt-7,68,main.txt,69,
