tool;lang;solset;type;recall
deckard;c;11;p123; 0.010909
deckard;c;11;p1234; 0.010909
deckard;c;11;f12; 0.000000
deckard;c;11;f123; 0.000000
deckard;c;11;f1234; 0.000000
deckard;c;12;p12; 0.003232
deckard;c;12;p123; 0.006667
deckard;c;12;p1234; 0.006667
deckard;c;12;f12; 0.000000
deckard;c;12;f123; 0.000000
deckard;c;12;f1234; 0.000000
deckard;c;13;p12; 0.001616
deckard;c;13;p123; 0.013939
deckard;c;13;p1234; 0.013939
deckard;c;13;f12; 0.000000
deckard;c;13;f123; 0.000000
deckard;c;13;f1234; 0.000000
deckard;c;14;p12; 0.001212
deckard;c;14;p123; 0.011313
deckard;c;14;p1234; 0.011313
deckard;c;14;f12; 0.000000
deckard;c;14;f123; 0.000000
deckard;c;14;f1234; 0.000000
cccd;c;1;p12; 0.001414
cccd;c;1;p123; 0.001616
cccd;c;1;p1234; 0.233131
cccd;c;1;f12; 0.000000
cccd;c;1;f123; 0.000000
cccd;c;1;f1234; 0.004242
cccd;c;2;p12; 0.000202
cccd;c;2;p123; 0.000202
cccd;c;2;p1234; 0.155758
cccd;c;2;f12; 0.000000
cccd;c;2;f123; 0.000000
cccd;c;2;f1234; 0.000202
cccd;c;3;p12; 0.000404
cccd;c;3;p123; 0.000404
cccd;c;3;p1234; 0.232121
cccd;c;3;f12; 0.000000
cccd;c;3;f123; 0.000000
cccd;c;3;f1234; 0.001414
cccd;c;4;p12; 0.000202
cccd;c;4;p123; 0.000202
cccd;c;4;p1234; 0.156566
cccd;c;4;f12; 0.000000
cccd;c;4;f123; 0.000000
cccd;c;4;f1234; 0.001414
cccd;c;5;p12; 0.000404
cccd;c;5;p123; 0.000404
cccd;c;5;p1234; 0.281212
cccd;c;5;f12; 0.000000
cccd;c;5;f123; 0.000000
cccd;c;5;f1234; 0.000000
cccd;c;6;p12; 0.000000
cccd;c;6;p123; 0.000000
cccd;c;6;p1234; 0.128687
cccd;c;6;f12; 0.000000
cccd;c;6;f123; 0.000000
cccd;c;6;f1234; 0.000000
cccd;c;7;p12; 0.001010
cccd;c;7;p123; 0.001010
cccd;c;7;p1234; 0.174949
cccd;c;7;f12; 0.000000
cccd;c;7;f123; 0.000000
cccd;c;7;f1234; 0.001616
cccd;c;8;p12; 0.000000
cccd;c;8;p123; 0.000000
cccd;c;8;p1234; 0.100606
cccd;c;8;f12; 0.000000
cccd;c;8;f123; 0.000000
cccd;c;8;f1234; 0.000000
cccd;c;9;p12; 0.000808
cccd;c;9;p123; 0.000808
cccd;c;9;p1234; 0.045657
cccd;c;9;f12; 0.000000
cccd;c;9;f123; 0.000000
cccd;c;9;f1234; 0.000000
cccd;c;10;p12; 0.000202
cccd;c;10;p123; 0.000202
cccd;c;10;p1234; 0.119394
cccd;c;10;f12; 0.000000
cccd;c;10;f123; 0.000000
cccd;c;10;f1234; 0.000000
cccd;c;11;p12; 0.001414
cccd;c;11;p123; 0.001616
cccd;c;11;p1234; 0.164848
cccd;c;11;f12; 0.000000
cccd;c;11;f123; 0.000000
cccd;c;11;f1234; 0.002222
cccd;c;12;p12; 0.000404
cccd;c;12;p123; 0.000404
cccd;c;12;p1234; 0.106061
cccd;c;12;f12; 0.000000
cccd;c;12;f123; 0.000000
cccd;c;12;f1234; 0.001616
cccd;c;13;p12; 0.000404
cccd;c;13;p123; 0.000404
cccd;c;13;p1234; 0.263232
cccd;c;13;f12; 0.000000
cccd;c;13;f123; 0.000000
cccd;c;13;f1234; 0.000606
cccd;c;14;p12; 0.000000
cccd;c;14;p123; 0.000000
cccd;c;14;p1234; 0.082020
cccd;c;14;f12; 0.000000
cccd;c;14;f123; 0.000000
cccd;c;14;f1234; 0.000000
